SampleID	Mouse_provider	experiment	source	sex	diet	diet_sex	Crypt1-3 (Defa1)	Cryp4 (Defa21/22)	Reg3g	CRS1C	pLysozyme	sPla2A2			
49-Si8-C	CharlesRiver	Si8_FP001	Content	Male	WSD	WSD_Male	25623949.5	4965853.679	4267489.238	748171.5914	2026847.199	35467.20688		WSD	Male
50-Si8-C	CharlesRiver	Si8_FP001	Content	Male	WSD	WSD_Male	23258026.69	6540902.39	9142264.108	700648.7429	1519362.645	31752.22465		WSD	Male
51-Si8-C	CharlesRiver	Si8_FP001	Content	Male	WSD	WSD_Male	35900619.26	8161284.689	7532741.643	1449762.02	3076123.573	81768.04994		WSD	Male
52-Si8-C	CharlesRiver	Si8_FP001	Content	Male	WSD	WSD_Male	40930089.35	7582855.461	8246150.112	949616.732	2385622.885	68742.92836		WSD	Male
54-Si8-C	CharlesRiver	Si8_FP001	Content	Male	Chow	Chow_Male	30594288.12	8453443.453	2355946.187	892391.8031	1762154.824	50338.68179		Chow	Male
55-Si8-C	CharlesRiver	Si8_FP001	Content	Male	Chow	Chow_Male	35722460.22	6011390.423	1860879.933	937029.9543	1869721.098	36924.55719		Chow	Male
56-Si8-C	CharlesRiver	Si8_FP001	Content	Male	Chow	Chow_Male	11991736.56	4695429.563	827990.423	634553.5223	1166552.915	48242.78842		Chow	Male
57-Si8-C	CharlesRiver	Si8_FP001	Content	Female	WSD	WSD_Female	11437129.76	4799831.028	1464788.983	335872.0471	966812.9466	23290.27246		WSD	Female
58-Si8-C	CharlesRiver	Si8_FP001	Content	Female	WSD	WSD_Female	6234438.302	3619256.64	1136644.123	260696.4459	426332.8665	16296.70081		WSD	Female
59-Si8-C	CharlesRiver	Si8_FP001	Content	Female	WSD	WSD_Female	28038955.04	12157070.55	2915040.484	953390.4896	2883131.62	50147.07901		WSD	Female
60-Si8-C	CharlesRiver	Si8_FP001	Content	Female	WSD	WSD_Female	15806426.04	7888646.346	1468321.903	610806.2025	1249113.592	27005.85053		WSD	Female
61-Si8-C	CharlesRiver	Si8_FP001	Content	Female	Chow	Chow_Female	4715490.681	3029600.84	6997904.606	99794.67119	521202.7218	16498.15759		Chow	Female
62-Si8-C	CharlesRiver	Si8_FP001	Content	Female	Chow	Chow_Female	18377117.92	10970872.45	4799672.07	659681.2716	1816732.825	51804.22655		Chow	Female
63-Si8-C	CharlesRiver	Si8_FP001	Content	Female	Chow	Chow_Female	13735381.24	6228590.851	8867737.341	607200.4145	966938.0864	35862.20106		Chow	Female
64-Si8-C	CharlesRiver	Si8_FP001	Content	Female	Chow	Chow_Female	23314525.68	8484575.824	6002608.064	581764.6002	1405210.238	52620.83696		Chow	Female
121-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	12968303.47	6103562.713	824303.8423	229063.508	1018235.918	17850.65692		WSD	Male
122-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	32058904.63	8569195.529	249125.2592	521148.6939	1697347.316	31363.63101		WSD	Male
123-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	1593062.79	1613886.443	326736.0052	41436.1994	173661.2352	6767.666404		WSD	Male
124-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	6192518.588	3362654.7	174611.2768	170818.7863	522743.4231	9874.774572		WSD	Male
125-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	13555545.46	5651978.876	2734809.406	347217.6837	908940.6929	35157.23241		WSD	Male
126-Si8-C	Taconic	Si8_FP002	Content	Male	WSD	WSD_Male	25723584.36	7236207.147	464511.5684	463114.5625	1099675.483	49104.63208		WSD	Male
127-Si8-C	Taconic	Si8_FP002	Content	Female	WSD	WSD_Female	2698161.753	1826866.932	250916.2035	35325.55622	198710.78	6652.446002		WSD	Female
128-Si8-C	Taconic	Si8_FP002	Content	Female	WSD	WSD_Female	15072690.44	5162085.623	258100.4544	244697.7782	696905.4221	29893.10435		WSD	Female
129-Si8-C	Taconic	Si8_FP002	Content	Female	WSD	WSD_Female	1746659.136	1013920.248	164732.3101	25033.138	285335.5737	5883.752743		WSD	Female
130-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	12441293.99	4364235.361	3631270.72	333317.9327	884772.8034	32691.01811		Chow	Male
131-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	13526394.2	3222877.124	227193.2664	413858.3663	1363206.566	24939.02479		Chow	Male
132-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	5397959.357	3452148.769	600424.0848	174019.1585	875451.408	15887.69923		Chow	Male
133-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	22056938.53	7372360.499	1032020.478	652935.705	1564424.946	43568.71765		Chow	Male
134-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	27240134.76	9355679.403	3201749.555	731338.9668	1138665.039	51252.42895		Chow	Male
135-Si8-C	Taconic	Si8_FP002	Content	Male	Chow	Chow_Male	6444274.942	3253669.767	5623606.934	144535.726	671690.8828	22918.09316		Chow	Male
136-Si8-C	Taconic	Si8_FP002	Content	Female	Chow	Chow_Female	23566163.44	5003440.332	4140183.799	570092.2102	985073.8275	32102.55122		Chow	Female
137-Si8-C	Taconic	Si8_FP002	Content	Female	Chow	Chow_Female	12778210.71	5116644.476	2991008.979	365001.1737	887127.7217	38263.3914		Chow	Female
138-Si8-C	Taconic	Si8_FP002	Content	Female	Chow	Chow_Female	2012521.173	1661301.157	5543953.836	56123.39525	234514.3151	12676.88901		Chow	Female
386-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	26104265.18	6653499.673	13043241.28	3845.624531	2764371.701	61024.62812		HFD	Male
387-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	29609279.08	14466748.03	4507136.598	398976.0397	2575523.802	74112.89829		HFD	Male
388-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	60405112.63	16443551.18	6736364.478	577602.4882	3697654.278	100109.0294		HFD	Male
389-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	14975655.78	7883254.752	18547480.4	327417.1517	1775310.761	51863.88388		HFD	Male
390-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	19414452.58	9242577.227	17806316.18	364229.257	2453522.779	60297.96176		HFD	Male
391-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	HFD	HFD_Male	40531642.16	9735059.671	6383020.062	402772.4817	2417629.131	45201.00884		HFD	Male
392-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	43612295.89	9365762.025	4946897.465	445555.7668	3609878.016	43566.82965		Chow	Male
393-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	72043253.16	46462961.77	49271546.24	584525.0726	3415209.885	90742.14536		Chow	Male
394-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	38204225.62	8102711.031	7192474.54	391049.2804	2731469.706	41863.02458		Chow	Male
395-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	14610302.42	17874498.26	3346219.521	352536.4301	2558994.387	32793.55906		Chow	Male
396-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	26482482.07	20181422.21	3011154.372	733276.112	3479685.051	97735.26288		Chow	Male
397-Si8-MAB	CharlesRiver	Si8_FP004	MAB	Male	Chow	Chow_Male	12744982.83	4621684.903	2773231.751	301249.3755	3890387.588	29126.52628		Chow	Male
