SampleID	mouse-number	Mouse_provider	experiment	source	sample	sex	diet
121-Si8-C_S25	121	Taconic	Si8_FP002	Content	121_Si8_C	Male	WSD
121-Si8-MAB_S59	121	Taconic	Si8_FP002	MAB	121_Si8_MAB	Male	WSD
122-Si8-MAB_S60	122	Taconic	Si8_FP002	MAB	122_Si8_MAB	Male	WSD
123-Si8-C_S27	123	Taconic	Si8_FP002	Content	123_Si8_C	Male	WSD
123-Si8-MAB_S61	123	Taconic	Si8_FP002	MAB	123_Si8_MAB	Male	WSD
124-Si8-MAB_S62	124	Taconic	Si8_FP002	MAB	124_Si8_MAB	Male	WSD
125-Si8-C_S29	125	Taconic	Si8_FP002	Content	125_Si8_C	Male	WSD
125-Si8-MAB_S63	125	Taconic	Si8_FP002	MAB	125_Si8_MAB	Male	WSD
126-Si8-C_S30	126	Taconic	Si8_FP002	Content	126_Si8_C	Male	WSD
126-Si8-MAB_S64	126	Taconic	Si8_FP002	MAB	126_Si8_MAB	Male	WSD
127-Si8-C_S31	127	Taconic	Si8_FP002	Content	127_Si8_C	Female	WSD
127-Si8-MAB_S65	127	Taconic	Si8_FP002	MAB	127_Si8_MAB	Female	WSD
128-Si8-C_S32	128	Taconic	Si8_FP002	Content	128_Si8_C	Female	WSD
128-Si8-MAB_S66	128	Taconic	Si8_FP002	MAB	128_Si8_MAB	Female	WSD
129-Si8-C_S33	129	Taconic	Si8_FP002	Content	129_Si8_C	Female	WSD
129-Si8-MAB_S67	129	Taconic	Si8_FP002	MAB	129_Si8_MAB	Female	WSD
130-Si8-C_S34	130	Taconic	Si8_FP002	Content	130_Si8_C	Male	Chow
130-Si8-MAB_S68	130	Taconic	Si8_FP002	MAB	130_Si8_MAB	Male	Chow
131-Si8-C_S35	131	Taconic	Si8_FP002	Content	131_Si8_C	Male	Chow
131-Si8-MAB_S69	131	Taconic	Si8_FP002	MAB	131_Si8_MAB	Male	Chow
132-Si8-C_S36	132	Taconic	Si8_FP002	Content	132_Si8_C	Male	Chow
132-Si8-MAB_S70	132	Taconic	Si8_FP002	MAB	132_Si8_MAB	Male	Chow
133-Si8-C_S37	133	Taconic	Si8_FP002	Content	133_Si8_C	Male	Chow
133-Si8-MAB_S71	133	Taconic	Si8_FP002	MAB	133_Si8_MAB	Male	Chow
134-Si8-C_S38	134	Taconic	Si8_FP002	Content	134_Si8_C	Male	Chow
134-Si8-MAB_S72	134	Taconic	Si8_FP002	MAB	134_Si8_MAB	Male	Chow
135-Si8-C_S39	135	Taconic	Si8_FP002	Content	135_Si8_C	Male	Chow
135-Si8-MAB_S73	135	Taconic	Si8_FP002	MAB	135_Si8_MAB	Male	Chow
136-Si8-C_S40	136	Taconic	Si8_FP002	Content	136_Si8_C	Female	Chow
136-Si8-MAB_S74	136	Taconic	Si8_FP002	MAB	136_Si8_MAB	Female	Chow
137-Si8-C_S41	137	Taconic	Si8_FP002	Content	137_Si8_C	Female	Chow
137-Si8-MAB_S75	137	Taconic	Si8_FP002	MAB	137_Si8_MAB	Female	Chow
138-Si8-C_S42	138	Taconic	Si8_FP002	Content	138_Si8_C	Female	Chow
138-Si8-MAB_S76	138	Taconic	Si8_FP002	MAB	138_Si8_MAB	Female	Chow
386-Si8-content_S13	386	CharlesRiver	Si8_FP004	Content	386_Si8_content	Male	HFD
386-Si8-MAB_S1	386	CharlesRiver	Si8_FP004	MAB	386_Si8_MAB	Male	HFD
387-Si8-content_S14	387	CharlesRiver	Si8_FP004	Content	387_Si8_content	Male	HFD
387-Si8-MAB_S2	387	CharlesRiver	Si8_FP004	MAB	387_Si8_MAB	Male	HFD
388-Si8-content_S15	388	CharlesRiver	Si8_FP004	Content	388_Si8_content	Male	HFD
388-Si8-MAB_S3	388	CharlesRiver	Si8_FP004	MAB	388_Si8_MAB	Male	HFD
389-Si8-content_S16	389	CharlesRiver	Si8_FP004	Content	389_Si8_content	Male	HFD
389-Si8-MAB_S4	389	CharlesRiver	Si8_FP004	MAB	389_Si8_MAB	Male	HFD
390-Si8-content_S17	390	CharlesRiver	Si8_FP004	Content	390_Si8_content	Male	HFD
390-Si8-MAB_S5	390	CharlesRiver	Si8_FP004	MAB	390_Si8_MAB	Male	HFD
391-Si8-content_S18	391	CharlesRiver	Si8_FP004	Content	391_Si8_content	Male	HFD
391-Si8-MAB_S6	391	CharlesRiver	Si8_FP004	MAB	391_Si8_MAB	Male	HFD
392-Si8-content_S19	392	CharlesRiver	Si8_FP004	Content	392_Si8_content	Male	Chow
392-Si8-MAB_S7	392	CharlesRiver	Si8_FP004	MAB	392_Si8_MAB	Male	Chow
393-Si8-content_S20	393	CharlesRiver	Si8_FP004	Content	393_Si8_content	Male	Chow
393-Si8-MAB_S8	393	CharlesRiver	Si8_FP004	MAB	393_Si8_MAB	Male	Chow
394-Si8-content_S21	394	CharlesRiver	Si8_FP004	Content	394_Si8_content	Male	Chow
394-Si8-MAB_S9	394	CharlesRiver	Si8_FP004	MAB	394_Si8_MAB	Male	Chow
395-Si8-content_S22	395	CharlesRiver	Si8_FP004	Content	395_Si8_content	Male	Chow
395-Si8-MAB_S10	395	CharlesRiver	Si8_FP004	MAB	395_Si8_MAB	Male	Chow
396-Si8-content_S23	396	CharlesRiver	Si8_FP004	Content	396_Si8_content	Male	Chow
396-Si8-MAB_S11	396	CharlesRiver	Si8_FP004	MAB	396_Si8_MAB	Male	Chow
397-Si8-content_S24	397	CharlesRiver	Si8_FP004	Content	397_Si8_content	Male	Chow
397-Si8-MAB_S12	397	CharlesRiver	Si8_FP004	MAB	397_Si8_MAB	Male	Chow
49-Si8-C_S16	49	CharlesRiver	Si8_FP001	Content	49_Si8_C	Male	WSD
49-Si8-MAB_S18	49	CharlesRiver	Si8_FP001	MAB	49_Si8_MAB	Male	WSD
50-Si8-C_S17	50	CharlesRiver	Si8_FP001	Content	50_Si8_C	Male	WSD
50-Si8-MAB_S19	50	CharlesRiver	Si8_FP001	MAB	50_Si8_MAB	Male	WSD
51-Si8-C_S18	51	CharlesRiver	Si8_FP001	Content	51_Si8_C	Male	WSD
51-Si8-MAB_S20	51	CharlesRiver	Si8_FP001	MAB	51_Si8_MAB	Male	WSD
52-Si8-C_S19	52	CharlesRiver	Si8_FP001	Content	52_Si8_C	Male	WSD
52-Si8-MAB_S21	52	CharlesRiver	Si8_FP001	MAB	52_Si8_MAB	Male	WSD
53-Si8-MAB_S22	53	CharlesRiver	Si8_FP001	MAB	53_Si8_MAB	Male	Chow
54-Si8-C_S21	54	CharlesRiver	Si8_FP001	Content	54_Si8_C	Male	Chow
54-Si8-MAB_S23	54	CharlesRiver	Si8_FP001	MAB	54_Si8_MAB	Male	Chow
55-Si8-C_S22	55	CharlesRiver	Si8_FP001	Content	55_Si8_C	Male	Chow
55-Si8-MAB_S24	55	CharlesRiver	Si8_FP001	MAB	55_Si8_MAB	Male	Chow
56-Si8-C_S23	56	CharlesRiver	Si8_FP001	Content	56_Si8_C	Male	Chow
56-Si8-MAB_S25	56	CharlesRiver	Si8_FP001	MAB	56_Si8_MAB	Male	Chow
57-Si8-C_S25	57	CharlesRiver	Si8_FP001	Content	57_Si8_C	Female	WSD
57-Si8-MAB_S26	57	CharlesRiver	Si8_FP001	MAB	57_Si8_MAB	Female	WSD
58-Si8-C_S26	58	CharlesRiver	Si8_FP001	Content	58_Si8_C	Female	WSD
