OTU_ID	121-Si8-C_S25	121-Si8-MAB_S59	122-Si8-MAB_S60	123-Si8-C_S27	123-Si8-MAB_S61	124-Si8-MAB_S62	125-Si8-C_S29	125-Si8-MAB_S63	126-Si8-C_S30	126-Si8-MAB_S64	127-Si8-C_S31	127-Si8-MAB_S65	128-Si8-C_S32	128-Si8-MAB_S66	129-Si8-C_S33	129-Si8-MAB_S67	130-Si8-C_S34	130-Si8-MAB_S68	131-Si8-C_S35	131-Si8-MAB_S69	132-Si8-C_S36	132-Si8-MAB_S70	133-Si8-C_S37	133-Si8-MAB_S71	134-Si8-C_S38	134-Si8-MAB_S72	135-Si8-C_S39	135-Si8-MAB_S73	136-Si8-C_S40	136-Si8-MAB_S74	137-Si8-C_S41	137-Si8-MAB_S75	138-Si8-C_S42	138-Si8-MAB_S76	386-Si8-content_S13	386-Si8-MAB_S1	387-Si8-content_S14	387-Si8-MAB_S2	388-Si8-content_S15	388-Si8-MAB_S3	389-Si8-content_S16	389-Si8-MAB_S4	390-Si8-content_S17	390-Si8-MAB_S5	391-Si8-content_S18	391-Si8-MAB_S6	392-Si8-content_S19	392-Si8-MAB_S7	393-Si8-content_S20	393-Si8-MAB_S8	394-Si8-content_S21	394-Si8-MAB_S9	395-Si8-content_S22	395-Si8-MAB_S10	396-Si8-content_S23	396-Si8-MAB_S11	397-Si8-content_S24	397-Si8-MAB_S12	49-Si8-C_S16	49-Si8-MAB_S18	50-Si8-C_S17	50-Si8-MAB_S19	51-Si8-C_S18	51-Si8-MAB_S20	52-Si8-C_S19	52-Si8-MAB_S21	53-Si8-MAB_S22	54-Si8-C_S21	54-Si8-MAB_S23	55-Si8-C_S22	55-Si8-MAB_S24	56-Si8-C_S23	56-Si8-MAB_S25	57-Si8-C_S25	57-Si8-MAB_S26	58-Si8-C_S26	58-Si8-MAB_S27	59-Si8-C_S27	59-Si8-MAB_S28	60-Si8-C_S28	60-Si8-MAB_S29	61-Si8-C_S29	61-Si8-MAB_S30	62-Si8-C_S30	62-Si8-MAB_S31	63-Si8-C_S31	63-Si8-MAB_S32	64-Si8-C_S32	64-Si8-MAB_S33
Genus_001	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	98	0	198	0	4	0	0	0	99	0	129	0	0	0	0	0	0
Genus_002	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	5	8	31	92	0	9	51	585	51	40	22	121	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	432	88	0	0	314	16	228	0	12	1775	123	269	138	147	16	1324	286	370	59	1385	0	1925	126	860	126	2744	37	2962	508
Genus_003	0	0	849	0	0	0	0	6	0	20	0	0	0	34	0	0	0	352	0	0	0	554	0	85	0	63	0	20	0	3	0	0	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	67	0	10	0	136	14	0	48	0	8	80	236	16	718	0	1634	3	12	4	311	0	549	0	1014	14	92	0	20	0	9
Genus_004	0	16	2005	0	81	0	0	0	0	55	5	63	5	187	0	0	43	2283	7	249	0	2346	7	1745	18	922	13	125	0	15	0	54	9	5295	0	0	11	0	0	60	0	10	0	208	0	8	783	128	923	0	732	74	1207	150	42	44	0	0	13	11	17	7	9	179	33	0	1427	10	321	497	39	192	217	0	197	12	384	12	84	3	367	3075	460	1816	2859	661	2462	230	67
Genus_005	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	288	0	18	0	11	0	7	0	0	0	0	0	1108	0	71	0	0	0	160	0	0	0	492	0	0	93	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	295	0	66	60	0	65	48	0	46	0	0	0	0	0	17	187	23	0	392	40	102	0	0
Genus_006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_007	0	0	128	0	182	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	16	0	1308	7	677	6	454	0	21	248	2077	22	323	4	17889	2	0	44	19	0	19	0	0	0	6	0	0	211	47	912	0	342	156	432	137	0	102	69	331	15	16	0	5	0	71	12	13	3419	75	1314	510	223	1168	1126	0	502	0	193	0	34	0	207	1638	354	459	4479	204	1961	10	24
Genus_008	0	0	206	0	32	0	0	0	0	0	0	23	9	59	0	0	19	95	0	30	0	97	0	37	0	2	0	39	0	20	0	40	0	1969	0	0	16	0	0	4	0	0	0	0	0	0	155	15	0	0	39	0	115	20	0	0	0	0	36	0	14	4	21	53	156	17	175	8	20	91	0	28	17	0	23	12	8	0	0	2	16	175	26	427	230	479	129	399	109
Genus_009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	23	0	57	0	0	0	0	0	0
Genus_010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
