sample_id	121-Si8-C	123-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.024697755	0.010360603	0.113430484	0.055555556	0.440957036	0.087794711	0.04886562	0.234550312	0.318556408	0.69664903	0.450837743	0.308045356	0.540018067	0.722012579	0.950878086	0.819325843	0.377515679	0.187686299	0.748377794	0.551006833	0.478777138	0.489381194	0.100762236	0.566823653	0.761503435	0.625891242	0.274030354	0.863147509	0.1204983	0.106574989	0.076603626	0.023984859	0.914942084	0.120526935	0.400064551	0.039897312	0.16533345	0.329734743	0.137603938	0.469366738	0.57170763	0.666877042	0.236174583
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	0.366666667	0.035925727	0.294604175	0.074879227	0.052482634	0.018627068	0	0.003561888	0.001420858	0	0	0.002699784	0	0.000539084	0	0	0.597959375	0.374344743	0.192713856	0.288262684	0.453965441	0.401182643	0.208946242	0	0.021449113	0.048792168	0.291736931	0.108682782	0.713491478	0.809667055	0.876094286	0.803999835	0.027827861	0.177121917	0.115685853	0.128276852	0.265543843	0.167756548	0.406008628	0.002862861	0.00365501	0.004895658	0.002435027
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.596891192	0.882131324	0.371799921	0.669082126	0.45819398	0.74742738	0.93320641	0.00160285	0.001278772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130100088	0.056752682	0.03597216	0.096971233	0.000483733	0.001484769	0.001215707	0.600023924	0.161317364	0.302864209	0.290843265	0.000673614	0.000404417	0.001958263	0.002100355
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.001208981	0.000269107	0.004135486	0	0.005402624	0.066692719	0	0.342475512	0.409775504	0.026134359	0.069885362	0.036987041	0.213730804	0.054627134	0.029269534	0.101797753	0.003182627	0	0	0	0	0	0.101497727	0.001412873	0.000998562	0	0	0	0.006766777	0.003158232	0.003646414	0.020995596	0.001328068	0.424778272	0.260710059	0.001619448	0.001627255	0.000731211	0.000210291	0.209798499	0.103912158	0.097370501	0.07044269
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0	0	0	0	0	0	0	0.21460374	0.120204604	0.206188873	0.372134039	0.368520518	0.148148148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117263	0.000115961	7.23E-05	7.66E-05	0.037458553	0.017224903	0	0.010774851	0.023943106	0.020158845	0.049861606	0.021717587	0.00608914	0.043600845	0.016814384
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0	0	0.001378495	0	0.0223823	0.001172333	0	0.018878005	0.004262575	0	0.005070547	0	0	0	0	0	0	0.090554014	0	0.078913951	0.01355782	0.082118764	0	0	0	0	0.121416526	0	0	0	4.34E-05	2.36E-05	0.000439758	0.094717223	0.066186122	0.000147223	0	0.000124841	0	0.08464224	0.052139211	0.009124798	0.048662081
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000620805	0.006582493	0.000390687	0.01886125	0.000140722	0.000837157	0.00035503	0.206875293	0.296916435	0.149268194	0.091294538	0.000680091	0.000541766	0.000418785	0.000423149
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0	0.063374596	0.206971249	0.155797101	0	0.044939429	0	0	0	0	0.044753086	0.072354212	0.001084011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000260458	0.002057698	0	0.000126363	0	0.008051233	0.070870499	0.020259907	0.006536059	0	0.000183132	0	9.23E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0	0	0	0	0	0	0.000475964	0	0	0	0	0.001079914	0	0	0	0	0.008799026	0.004933703	0.009542389	0.001874584	0.008506868	0.000333139	0.002674512	0.018733647	0.000918677	0	0	0	0	4.77E-05	0	5.90E-05	0.000958672	0.000868748	0.01020979	0	0	0	0	0.010661243	0.053306677	0.000442379	0.521149733
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus_Arthromitus	0	0.00080732	0	0	0	0	0	0.056277827	0.007956806	0	0	0.156047516	0.015537489	0.150224618	0.007126495	0.041573034	0	0.003803063	0	0	0	0	0	0.013814757	0.033072376	0	0.019392917	0	0	0	0	0	0.004450347	0.00217187	7.53E-05	0	0	0	0	0.000563504	0.000862247	0.036794111	0.011398083
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0	0	0	0	0	0.017324476	0	0.014247551	0.049872123	0	0.011243386	0	0.011743451	0	0	0.01258427	0.012168866	0.133929489	0	0.026002298	0	0	0.082776143	0.03270539	0.009346541	0.051825051	0	0	0.005670021	0.001807628	0.000347277	0.008914726	0	0.009500944	0.007692308	0	2.74E-05	0	0	0.021898945	0.011674666	0.001911076	0.001619505
