sample_id	121-Si8-C	122-Si8-C	123-Si8-C	124-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	53-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus_Arthromitus	0.009891157	0.000372584	0.082928483	0.000518063	0.000348086	0.000556917	0	0.007031544	0.000407054	0.753291814	0.354722391	0.024476037	0.126073784	0.93469723	0.600036186	0.834783723	0.734214406	0.040069705	0.011038961	0.264623955	0.077423552	0	0.011491611	0	0.020064205	0.467110741	0.545112437	0.005708577	0	0.078911565	0.000779099	0	0.000331755	0.000656868	0.001073867	0.641541115	0.082871126	0.002183512	0.005324459	0.772693678	0.005617185	0.041376049	0.06510363	0.484217012	0.864299958	0.693891278
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	0.181283823	0.004888299	0.007908711	0.016249914	0.04347754	0.002079156	0.021039744	0.008384838	0	0.000174208	0.0003399	0.000439689	0.00133666	0	0.000205054	0	0	0.000128291	0.525974026	0	0	0.203988305	0.117444266	0.200702988	0.073836276	0	0.01229922	0	0.036565068	0	0.786942295	0.835798817	0.827336611	0.838985138	0.065467516	0.121573788	0.059575856	0.080450289	0.055185801	0.000794237	0.084977559	0.094455609	0.074292307	0	0.000402111	0.000562355
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.644100776	0.589636209	0.662614394	0.470245907	0.444123985	0.76557511	0.69763021	0.736819342	0.948536787	0.000377452	0.000783247	0.001868679	0.00016931	0	8.44E-05	0.001708434	0.000257724	0.000374183	0	0	0	0	0	0	0	0	0	0	0	0.011791383	0.12221472	0.050893869	0.069517749	0.075293538	0.000383524	0.003040479	0.00548124	0.00526469	0.041375485	0.000110311	0.245575409	0.05177917	0.033087478	0	0.000361079	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.012728784	0.052742962	0.02521749	0.002935691	0.049013758	0.027548823	0.160633448	0.035534411	0.006818149	0.012484938	0.11255117	0.113256632	0.26118339	0.008051612	0.187371087	0.079698461	0.207880169	0.22208324	0.368831169	0.359331476	0.130123617	0.587900142	0.368650885	0.550790861	0.057303371	0.146544546	0.299770537	0.595690024	0.929002393	0.7569161	0.063496598	0.08397331	0.054950689	0.020855571	0.126869679	0.018742058	0.070734095	0.390266388	0.013754853	0.087476421	0.475301324	0.044095047	0.219498125	0.083662489	0.009749132	0.113739111
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0	0	0.000971642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003273322	0	0.00394121	0	0.000363042	0.000391517	0	0.003438713	0	0.138002089	0	0.021632535	3.30E-05	4.92E-05	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.0006486	0.001341302	0.001423568	0.000897976	0.000298359	0.000928195	0.000499412	0	0.000101763	0	0	0	0	4.28E-05	0.000168868	0	6.19E-05	9.62E-05	0.008441558	0.050139276	0	0.00322363	0.003217651	0	0.002247191	0	0	0.009419152	0	0	0	6.29E-05	0	0	0.000383524	0	0.000978793	0.005094861	0.00088741	0.001478164	0.000606882	0.000827521	0.002513495	0.0031687	0	0.009593119
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0	0	0.09944639	0.361694412	0.417603182	0.010915571	0.030979653	0.086889797	0.000494279	0	0.000354678	0.001025942	0.036998752	0.002241788	0.000458356	0	9.28E-05	0	0	0	0	0	0	0	0	0	0	0.000999001	0	0	0	0	0	0	0	0	0	0	0.001719357	0	0.019547238	0.006029081	0.016935185	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0	0.001549949	0.007230821	0.000259032	0.000580143	0	0.009585488	0.00047435	0	0.000711351	0.001566495	0.005019786	0.001603992	0.000222468	0	8.54E-05	0	0	0	0.069637883	0	0.087862658	0.03516433	0.10685413	0	0	0	0	0	0	0.00020776	0	0	0	0.017757153	0.005944818	0.073017945	0.037338056	0.030116473	0.017936527	0.000677449	0.038065965	0.030656393	0.006293391	0.003069171	0.035924578
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0	0	0.000406734	0.000310838	0	0	0.000225541	0	0	0.015693277	0.059984926	0.068701451	0.313865621	0.017378135	0.031554189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033761	0	0	0	0.035936182	0.004311127	0.006786297	0.004172934	0.011425402	0.003331385	0.005236119	0.011939946	0.01681157	0.000418092	0.000328254	0.003561583
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.00524961	0.00013413	0.011185177	0	0	0	0.016222834	0.052457553	7.27E-05	0.054396586	0.365702632	0.102191118	0.088593834	0.003508141	0.101224293	0.022476589	0.02189623	0.066893315	0	0	0	0	0	0	0.204815409	0	0	0	0	0.008843537	0.002025658	0.003902808	0.00660494	0.016750144	0.158395336	0.017062988	0.459575856	0.179217817	0.009373267	0.065127464	0.001072628	0.024943847	0.039268202	0.037452277	0.003668234	0.068353732
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0	0	0.002643769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145567	0	0	0.000564541	0	0	0.008735931	0	0.033564891
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria	0	0	0	0	0	0.00033415	0	0	0	0	0	0	4.46E-05	0	0	5.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288434	0	0	0
